N1010

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      80         40          0          0        230          0   
    1      41         49          1        164        194         10   
    2      35         17          2         29         59         10   
    3      55         45          3          7         37         10   
    4      55         20          1        190        220         10   
    5      15         30          2         71        101         10   
    6      25         30          3         63         93         10   
    7      20         50          1         58         88         10   
    8      10         43          2         36         66         10   
    9      55         60          3        189        219         10   
   10      30         60          1         27         57         10   
   11      20         65          2        174        204         10   
   12      50         35          3        190        220         10   
   13      30         25          1        140        170         10   
   14      15         10          2         23         53         10   
   15      30          5          3        152        182         10   
   16      10         20          1        109        139         10   
   17       5         30          2          9         39         10   
   18      20         40          3          8         38         10   
   19      15         60          1         24         54         10  
   20      45         65          2         56         86         10   
   21      45         20          3         60         90         10   
   22      45         10          3        130        160         10   
   23      55          5          1        155        185         10   
   24      65         35          2          7         37         10   
   25      65         20          3        144        174         10   
   26      45         30          1         51         81         10   
   27      35         40          2        184        214         10   
   28      41         37          3        167        197         10   
   29      64         42          1        180        210         10   
   30      40         60          2        140        170         10   
   31      31         52          3        108        138         10   
   32      35         69          1         57         87         10   
   33      53         52          2        115        145         10   
   34      65         55          3        151        181         10   
   35      63         65          1         72        102         10   
   36       2         60          2        208        238         10   
   37      20         20          3          2         32         10   
   38       5          5          1        195        225         10   
   39      60         12          2        207        237         10   
   40      40         25          3         41         71         10   
   41      42          7          1        179        209         10   
   42      24         12          2        109        139         10   
   43      23          3          3         88        118         10   
   44      11         14          1         72        102         10   
   45       6         38          2         40         70         10   
   46       2         48          3         56         86         10   
   47       8         56          1        196        226         10   
   48      13         52          2         87        117         10   
   49       6         68          3         27         57         10   
   50      47         47          1         24         54         10 
   51      49         58          3         98        128         10   
   52      27         43          2         25         55         10   
   53      37         31          1         92        122         10   
   54      57         29          1         89        119         10   
   55      63         23          2        155        185         10   
   56      53         12          3         68         98         10   
   57      32         12          2        207        237         10   
   58      36         26          1         12         42         10   
   59      21         24          1        187        217         10   
   60      17         34          3        118        148         10 
   61      12         24          2        138        168         10   
   62      24         58          1         32         62         10   
   63      27         69          3         97        127         10   
   64      15         77          1         21         51         10   
   65      62         77          2        142        172         10   
   66      49         73          1         76        106         10   
   67      67          5          2        161        191         10   
   68      56         39          3        159        189         10   
   69      37         47          1         93        123         10   
   70      37         56          1        148        178         10  
   71      57         68          2         50         80         10   
   72      47         16          1        181        211         10   
   73      44         17          2         18         48         10   
   74      46         13          1         12         42         10   
   75      49         11          3        170        200         10   
   76      49         42          1         59         89         10   
   77      53         43          2        198        228         10   
   78      61         52          3         75        105         10   
   79      57         48          1         21         51         10   
   80      56         37          2         60         90         10 
   81      55         54          1         26         56         10   
   82      15         47          2         98        128         10   
   83      14         37          2         72        102         10   
   84      11         31          1        117        147         10   
   85      16         22          3        163        193         10   
   86       4         18          1         94        124         10   
   87      28         18          2         42         72         10   
   88      26         52          1         95        125         10   
   89      26         35          2         91        121         10   
   90      31         67          2         54         84         10 
   91      15         19          1        172        202         10   
   92      22         22          2         69         99         10   
   93      18         24          1        180        210         10   
   94      26         27          2        175        205         10   
   95      25         24          1        166        196         10   
   96      22         27          2         19         49         10   
   97      25         21          2        156        186         10   
   98      19         21          3        163        193         10   
   99      20         26          1         44         74         10   
  100      18         18          2        137        167         10   
