R102

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
0	20.00 	10.00 	0	0	30	0
1	10.25 	12.25 	1	24	30	10
2	8.75 	4.25 	2	13	19	10
3	13.75 	11.25 	3	24	30	10
4	13.75 	5.00 	1	14	20	10
5	3.75 	7.50 	2	12	18	10
6	6.25 	7.50 	3	21	27	10
7	5.00 	12.50 	1	22	28	10
8	2.50 	10.75 	2	6	12	10
9	13.75 	15.00 	3	28	34	10
10	7.50 	15.00 	1	24	30	10
11	5.00 	16.25 	2	29	35	10
12	12.50 	8.75 	3	24	30	10
13	7.50 	6.25 	1	20	26	10
14	3.75 	2.50 	2	12	18	10
15	7.50 	1.25 	3	21	27	10
16	2.50 	5.00 	1	7	13	10
17	1.25 	7.50 	2	17	23	10
18	5.00 	10.00 	3	17	23	10
19	3.75 	15.00 	1	24	30	10
20	11.25 	16.25 	2	6	12	10
21	11.25 	5.00 	3	29	35	10
22	11.25 	2.50 	3	8	14	10
23	13.75 	1.25 	1	17	23	10
24	16.25 	8.75 	2	21	27	10
25	16.25 	5.00 	3	27	33	10
26	11.25 	7.50 	1	11	17	10
27	8.75 	10.00 	2	10	16	10
28	10.25 	9.25 	3	6	12	10
29	16.00 	10.50 	1	23	29	10
30	10.00 	15.00 	2	7	13	10
31	7.75 	13.00 	3	29	35	10
32	8.75 	17.25 	1	10	16	10
33	13.25 	13.00 	2	10	16	10
34	16.25 	13.75 	3	8	14	10
35	15.75 	16.25 	1	22	28	10
36	0.50 	15.00 	2	15	21	10
37	5.00 	5.00 	3	19	25	10
38	1.25 	1.25 	1	29	35	10
39	15.00 	3.00 	2	23	29	10
40	10.00 	6.25 	3	24	30	10
41	10.50 	1.75 	1	9	15	10
42	6.00 	3.00 	2	23	29	10
43	5.75 	0.75 	3	23	29	10
44	2.75 	3.50 	1	12	18	10
45	1.50 	9.50 	2	26	32	10
46	0.50 	12.00 	3	26	32	10
47	2.00 	14.00 	1	13	19	10
48	3.25 	13.00 	2	8	14	10
49	1.50 	17.00 	3	11	17	10
50	11.75 	11.75 	1	10	16	10
